dorsal;biker;club;time
336;Kristen Hansen;Independiente;05:05:49
1718;Jeffrey Black;LEITZ KKE;05:05:50
1712;Ronald Smith;LEITZ KKE;05:05:51
1824;Amanda Sims;Independiente;05:05:52
2003;Todd Webster;Independiente;05:05:58
1070;Daniel Sims;Gualdetxu MBTT ;05:06:00
4330;Natalie Vang;Independiente;05:06:04
4256;Peggy Davis;Independiente;05:06:05
4159;Erin Ramirez;Independiente;05:06:12
268;Michael Mercado;Independiente;05:06:16
3551;Tracie Fernandez;Independiente;05:06:22
3544;Kristin Garrett;Independiente;05:06:22
3554;Tina Jenkins;Independiente;05:06:24
5338;Cathy Molina;Independiente;05:06:42
2293;Sarah Schneider;Independiente;05:06:48
1997;Natalie West;Independiente;05:06:55
1234;Theresa Robinson;Independiente;05:06:56
4120;Bobby Gentry;Independiente;05:07:00
2381;Mary Espinoza;Independiente;05:07:02
1522;Hannah Robinson;Independiente;05:07:08
269;George Harris;Independiente;05:07:10
1069;Jim Curry;Independiente;05:07:14
849;Thomas Weaver;Independiente;05:07:19
2271;Michael Smith;Independiente;05:07:20
621;Peter Hamilton;Independiente;05:07:29
3547;Cynthia Lee;Independiente;05:07:38
580;Rachel Davis;C.C.TORELLO;05:07:43
375;Jason Beck;AVECHUCHOS ;05:07:48
4532;Joshua Baker;Independiente;05:07:52
201;Jennifer Randolph;Ccmontbrió ;05:07:53
989;Kayla Craig;CC Montbrió;05:07:56
800;Erica Mcguire;C.C. Montbrió del Camp ;05:07:57
870;Monica Klein;Cc Montbrio Del Camp ;05:07:57
1093;Benjamin Douglas;Independiente;05:08:02
3002;Kyle Johnson;Independiente;05:08:03
395;Aaron Hernandez;Club ciclisme unica palau;05:08:06
1227;Mariah Ponce;Independiente;05:08:12
4319;Alexandra Johnson;Independiente;05:08:13
450;Michael Young;Cc/Huarte;05:08:14
3665;Larry Mcdonald;CC HUARTE;05:08:14
529;Eric Nguyen;CC HUARTE;05:08:15
2551;Jacob Gilbert;Independiente;05:08:15
2554;Sabrina Cohen;Independiente;05:08:15
2529;Jackie Daugherty;Independiente;05:08:18
1524;Heidi Jenkins;Independiente;05:08:26
2559;Mallory Williams;Independiente;05:08:29
1878;Christine Whitney;Independiente;05:08:29
1673;Daniel Smith;Bike or die;05:08:38
2155;Robert Buchanan;Independiente;05:08:40
2149;Jennifer Alvarado;Independiente;05:08:40
2713;Justin Williams;Independiente;05:08:41
1345;Alec Jones;Independiente;05:08:42
1696;Melissa Johnson;CLUB Ciclista Edelweiss;05:08:56
2055;Timothy Chaney;Independiente;05:08:56
1746;Anna Mack DDS;Independiente;05:09:01
3714;David Black;Independiente;05:09:02
2569;Susan Lewis;KING KISS;05:09:02
2628;Summer Harris;Independiente;05:09:02
259;Sarah Perry;Independiente;05:09:03
66;Maria Holder;Independiente;05:09:03
1100;Colleen Roberts;Independiente;05:09:04
3808;Stephen Davis;Independiente;05:09:05
2631;Vicki Johnson;Independiente;05:09:06
1853;Stephanie Roberts;Independiente;05:09:19
107;Abigail Johnson;Independiente;05:09:20
852;Terri Moreno;Independiente;05:09:21
1202;Julie Cox;Independiente;05:09:29
1513;Amber Johnson;Independiente;05:09:30
1716;Kenneth Fisher;Independiente;05:09:33
1595;Jeremy Boone;Independiente;05:09:36
555;Stacy Petersen;Veloclub Carlet;05:09:42
2879;Tammy Proctor;CC PLATJA D´ARO;05:09:43
942;Antonio Daniel;Club Ciclista Campredó ;05:09:44
1043;Edward Clark;CLUB ciclista Campredó ;05:09:45
807;Robert Carter;Independiente;05:09:48
903;Zachary Jones;Independiente;05:09:56
543;Wesley Gutierrez;PEÑA CICLISTA BARBERÀ;05:10:07
4642;Ralph Horton;C.C. Manlleuenc;05:10:11
2642;Joshua Kane;Independiente;05:10:22
4089;Ashley Alexander;Independiente;05:10:23
5580;Kimberly Smith;BONANOS CC ;05:10:26
5579;Cody Long;BONANOS CC ;05:10:26
3283;Ms. Lacey Nguyen;BLACKS &GREENS ;05:10:28
4038;Fernando Lawrence;Independiente;05:10:28
3875;Jay Greene;Independiente;05:10:30
2266;Leslie Lang;Club ciclista L’Escala ;05:10:36
872;Kimberly Anderson;Independiente;05:10:39
3196;Luis Richards;Independiente;05:10:44
1922;Yolanda Robinson;Coyotes bike Cubelles;05:10:45
3242;Jennifer Price;Independiente;05:10:50
2043;Dr. Darren Wilson DVM;Independiente;05:10:53
2045;Teresa Morrison;Independiente;05:10:55
1558;Zachary Sanchez;Independiente;05:11:04
3971;Emma Collins;Independiente;05:11:11
819;Robert Schwartz;Independiente;05:11:17
1963;Edward Johnson;CC Moto5 ;05:11:19
919;Jason Miller;Independiente;05:11:20
327;Gary Castillo;Independiente;05:11:22
1700;Suzanne Riddle;Independiente;05:11:23
1757;Elizabeth Johnson;Independiente;05:11:23
635;Debbie Gutierrez;Independiente;05:11:28
4354;Matthew Holland;J.A.MONTCADA ;05:11:28
1061;Jamie Andrews;CLUB Ciclista Binefar 2010;05:11:36
3153;Pamela Cole;Independiente;05:11:37
3990;Michelle Monroe;Independiente;05:11:39
873;Nancy Wilson;Independiente;05:11:39
2461;Alison King;UNIÓ CICLISTA SANT CUGAT ;05:11:42
396;Richard Chung;Independiente;05:11:43
3844;Dawn Gibson;Independiente;05:11:44
1265;Jennifer Henderson;Independiente;05:11:44
5313;Christopher Castillo;Independiente;05:11:48
2571;Evelyn Stephens;RUNNERS PREIXANA ;05:11:51
1737;Michael Williams;Independiente;05:11:52
2734;Jeffrey Duran;Independiente;05:12:11
2025;Randy Coleman;Club ciclista sax;05:12:11
4242;Edward Bailey DVM;Independiente;05:12:11
787;Julie Ramirez;CLUB ciclista sax;05:12:12
1550;Joshua Brock;Independiente;05:12:13
1013;Lori Baird;Independiente;05:12:13
779;Lisa Mcdonald;Independiente;05:12:13
2099;Jeanette Jenkins;Ermuko txirrindulari elkarte ;05:12:18
4006;Cynthia Page;Independiente;05:12:20
1536;Joseph Torres DVM;Independiente;05:12:25
4235;Andrew Jackson;tres campanars ;05:12:26
295;Zachary Johnson;Independiente;05:12:28
323;Kathleen Richardson;Independiente;05:12:29
2611;Brett Young;Independiente;05:12:29
778;Michael Ellison;Independiente;05:12:31
839;William Giles;Independiente;05:12:31
1585;Amber Turner;Independiente;05:12:33
5598;David Murray;Independiente;05:12:34
4065;Kayla Todd;Independiente;05:12:34
417;Lisa Hancock;Oarsotri ;05:12:35
373;Donna Vazquez;Independiente;05:12:36
5597;Stephanie Joyce;Independiente;05:12:38
3851;Christine Campbell;Independiente;05:12:38
4673;Ivan Glenn;Independiente;05:12:39
1720;Linda Morgan;3Sendes;05:12:46
4295;Harold Guerrero Jr.;Independiente;05:12:48
2499;Elaine Obrien;Independiente;05:12:52
515;Aaron Maldonado;Independiente;05:12:52
2507;Luis Mullins;Independiente;05:12:56
3270;Tristan Hanson;Independiente;05:12:58
4187;Beth Jacobs;Independiente;05:13:04
2748;Chris Gardner;Independiente;05:13:04
3804;Tina Snyder;Independiente;05:13:05
2453;Mr. Jordan Larsen;Independiente;05:13:21
916;Margaret Bryant;Independiente;05:13:23
2193;Rebekah Vasquez;Club Ciclista Cuarte de Huerva ;05:13:30
2306;Raymond Evans;Independiente;05:13:33
1902;Kayla Morrison;Peña Guara ;05:13:35
2621;Gloria Walker;TOPE ;05:13:43
1011;Michael Harris;Independiente;05:13:45
1658;Brian Mason;Independiente;05:13:45
1657;Harry Frye;Independiente;05:13:45
1562;Melinda Holt;Independiente;05:13:46
1012;Jennifer Jordan;Independiente;05:13:47
726;Rebecca Summers;C. C. Leciñena ;05:13:47
1038;John Parker;Independiente;05:13:47
600;Danielle Bowman;C.C. LECIÑENA;05:13:48
3571;Patrick Brown;Independiente;05:13:49
826;Michael Preston;Independiente;05:13:57
832;Matthew Holt;Independiente;05:13:57
5073;Christopher Ho;Independiente;05:14:00
3268;Tracey Allen;CLUB CICLISTA OSCENSE;05:14:04
1172;Sylvia Adams;Independiente;05:14:07
2536;Jeffrey Espinoza;Independiente;05:14:10
5128;Jason Simmons;Club ciclista Santa Isabel ;05:14:12
955;Nicholas Scott;Independiente;05:14:23
794;Tina Hunter;Independiente;05:14:24
2385;Brett Williams;Independiente;05:14:27
2480;Matthew Clark;Independiente;05:14:27
4415;Sarah Mcdonald;Independiente;05:14:29
277;Brandon Forbes;Independiente;05:14:29
996;Mark Hendricks;Independiente;05:14:31
4584;Linda Cantu;BTT Calatayud;05:14:32
5273;Jacob Washington;Independiente;05:14:33
623;Kara Brewer;Independiente;05:14:33
4526;Michael Hale;Independiente;05:14:39
5346;Robert Hoffman;Independiente;05:14:44
5541;Chad Dawson;Independiente;05:14:47
3182;Preston Pena;Independiente;05:14:49
1708;Tiffany Griffin;Independiente;05:14:57
2607;Jillian Garcia;Independiente;05:14:58
2661;Frank Stark;Independiente;05:15:02
3641;Elizabeth Winters;Birretes Team;05:15:02
2660;Amanda Reyes;Independiente;05:15:03
2659;Henry Cooper;Independiente;05:15:04
517;Scott Richardson;Independiente;05:15:08
531;Melissa Peters;Independiente;05:15:08
70;Justin Sharp;Independiente;05:15:15
730;Matthew Nelson;Independiente;05:15:16
5202;Hunter Booth;Independiente;05:15:18
2517;Carolyn Thomas;Independiente;05:15:29
4668;Anthony Vasquez;Independiente;05:15:30
3921;Steven Thomas;Independiente;05:15:31
4056;Valerie Baker;Independiente;05:15:45
4281;Marilyn Walter;Independiente;05:15:46
2613;Deborah Howard;Bici 3.0 ;05:15:57
1949;Andrew Hansen;Independiente;05:16:01
954;Eric Calderon;CLUB Ciclista Calderí;05:16:05
864;Ryan Miller;Independiente;05:16:07
728;Elizabeth Mathis;Independiente;05:16:11
557;Paul Armstrong;Independiente;05:16:15
507;Margaret Oliver;Independiente;05:16:15
3240;Jeremy Stewart;Independiente;05:16:21
1921;Mark Jenkins;Independiente;05:16:22
504;Christopher Davenport;Independiente;05:16:22
513;Rebecca Baker;Independiente;05:16:22
609;Darrell Walker;Independiente;05:16:24
5513;William Lee;Independiente;05:16:34
5531;Tracy Abbott;Independiente;05:16:35
4553;Maria Turner;Independiente;05:16:37
3097;Timothy Miller;Independiente;05:16:39
3098;Edwin Austin;Independiente;05:16:40
2232;Jennifer Gibson;Independiente;05:16:43
564;Johnathan Brown;Independiente;05:16:43
3235;Christina Vazquez;DONOSTI GAIN* S.C.D. ;05:16:44
1196;Lisa Blake;Independiente;05:16:45
5217;Monica May;Independiente;05:16:48
5226;Nathan Martinez;Independiente;05:16:49
3325;James Hamilton;Independiente;05:16:49
3277;Curtis Jones;Independiente;05:16:50
4874;Jennifer Turner;Independiente;05:16:55
4778;Jonathan Romero;Blanda Espartans ;05:16:56
4236;Michael Moran;ccriudellots ;05:16:58
1215;Thomas Espinoza MD;Club Ciclista Oscense;05:16:59
1214;Gabriel Reese;Independiente;05:16:59
280;Cynthia Armstrong;MOGODA BIKE;05:17:00
470;Theresa Berry;Independiente;05:17:00
3801;Jason Hoffman;Guineo team;05:17:03
5458;Ashley Ward;Independiente;05:17:04
1971;Brent Gray;Independiente;05:17:07
5459;Emily Edwards;Independiente;05:17:07
1401;Steven Hess;Lanaja BTT ;05:17:10
5276;Gary Phillips;El Trenecito de la Bruja ;05:17:11
2343;Zachary Davis;Independiente;05:17:12
1409;Herbert Walker;Independiente;05:17:12
2318;Ronnie Smith;Independiente;05:17:12
2800;Becky Gilbert;Domingueros BTT;05:17:14
2313;Crystal Jones;Independiente;05:17:15
2777;Timothy Sanchez;Independiente;05:17:17
1793;Paula Huber;Independiente;05:17:21
1732;Crystal Martinez;Independiente;05:17:26
5456;Jennifer Wells;Independiente;05:17:40
5457;Travis Bennett;Independiente;05:17:40
1121;Frank Hanson;Independiente;05:17:46
1122;Mary Anderson;Independiente;05:17:46
5168;Christian Anderson;MIXTOSBIKE2020;05:17:47
2403;Andrew Hernandez;Independiente;05:17:50
157;Michelle Henson;Independiente;05:17:50
60;Susan Johnston;Club espíritu lo Negrell ;05:17:50
2492;Julie Gutierrez;Llorones y machacas;05:17:52
2186;Chelsea Pittman MD;Club ciclista Horta;05:17:53
3899;Megan Rivera;Independiente;05:17:59
2123;James Garcia;Club Ciclista Turolense;05:18:01
4662;Amber Hansen;Independiente;05:18:04
4423;Karen Peterson;Independiente;05:18:07
2889;Jennifer Weaver;Independiente;05:18:09
3703;Sharon Bush;Independiente;05:18:13
1730;Theresa Murphy;Independiente;05:18:20
1052;Todd Moore;VeloClub Carlet;05:18:20
5574;Leslie Castillo;Independiente;05:18:20
1892;Chelsea Jones;Independiente;05:18:28
1429;Autumn Rios;Independiente;05:18:28
1847;Kristi Jones;MAÑICAS BIKE TEAM;05:18:31
524;Stacey Doyle;Independiente;05:18:32
5315;Allison Torres;C.C. Femenino Bukardas ;05:18:34
467;Courtney Hayes;CLUB Ciclista GER;05:18:39
2172;David Sandoval;Independiente;05:18:41
419;Ethan Bradley;Club ciclista GER;05:18:42
4740;Daniel Cross;Independiente;05:18:45
5394;Stephen Norris;Independiente;05:18:46
1969;Kathy Perkins;CC UTECO ;05:18:47
4091;Lance Duncan;Independiente;05:18:50
737;David Morris;Independiente;05:18:52
3936;Megan Johnson;Independiente;05:18:55
4335;Emily Rose;MEGABICI ;05:18:56
2367;Richard Smith;Independiente;05:19:06
5585;Crystal Bailey;Independiente;05:19:15
4279;Katelyn Ayala;Independiente;05:19:23
891;Colleen Watson;Independiente;05:19:25
3546;Adam Lewis;EJAROM BIKES ;05:19:25
3093;Thomas Williams;Independiente;05:19:27
1547;John Daniels;Independiente;05:19:30
753;Jose Wong;PRO360BIKES;05:19:32
757;Eric Walton;Pro360bikes;05:19:34
566;Thomas Porter;Independiente;05:19:35
4355;David Scott;Independiente;05:19:38
510;Andrew Tucker;Independiente;05:19:45
3091;William Sheppard;Independiente;05:19:46
2174;Bradley Gregory;Independiente;05:19:46
2091;Laura Sandoval;Independiente;05:19:46
2468;Kyle Jones;Independiente;05:19:47
2107;Renee Johnson;Independiente;05:19:48
5358;Jennifer Vance;Independiente;05:19:48
5349;Kenneth Porter;Independiente;05:19:53
2786;Crystal Swanson;CC Ebro;05:19:56
2787;Emily Monroe;CLUB ciclista Ebro ;05:19:57
377;Timothy Wilkins DVM;BIKERS PARETS;05:19:59
5272;Anna Johnson;Club Montaña Ki2 ;05:20:03
1666;Jennifer Burke;DOMINRIDERS;05:20:08
204;Joseph Craig;Independiente;05:20:14
310;Emma Ray;Independiente;05:20:18
3578;Eric Guzman;Independiente;05:20:21
2616;Brenda Strickland;C.D. Amaya ;05:20:27
2610;Donna Mills;Independiente;05:20:28
1520;Alexander Mitchell;Independiente;05:20:29
4660;Christopher Frank;Independiente;05:20:30
2645;Tony Fernandez;Independiente;05:20:32
3009;Michael Goodman;Independiente;05:20:33
3071;Michelle Farmer;Independiente;05:20:46
4156;Jeremy Hicks;CT Montornès ;05:20:47
4205;Vicki Leon;Independiente;05:20:54
312;Victoria Edwards;Independiente;05:20:57
1436;Allen Sanchez;Independiente;05:20:58
3450;Jeffery Vasquez;Independiente;05:21:01
2649;Katie Simpson;TransPerfect by TMB for Afanoc ;05:21:04
4090;Casey Brown;Independiente;05:21:12
2434;Chelsea Lopez;Independiente;05:21:14
1270;Katherine Martinez;Independiente;05:21:17
1269;Joseph Morales;Independiente;05:21:17
1268;Christopher Stuart;Independiente;05:21:18
731;Jeff Long;Independiente;05:21:18
3608;Cynthia Watkins;Independiente;05:21:18
2068;Richard Wilson;Independiente;05:21:22
5527;Mark Sloan;Independiente;05:21:24
3845;Casey Bryan;Independiente;05:21:38
2684;Jeffrey Butler;Independiente;05:21:38
1185;Scott Sanders;Independiente;05:21:38
463;Lori Berger;Independiente;05:21:39
3920;Joseph Reyes;Independiente;05:21:44
2578;Lauren Larson;Independiente;05:21:44
2052;Dr. Matthew Smith;Independiente;05:21:45
1721;Erin Lloyd;Independiente;05:21:45
1977;Kelly Vang;Independiente;05:21:47
523;Michelle Martinez;Independiente;05:21:49
371;Tara Rojas;CEME ;05:21:50
1246;Beth King;Independiente;05:21:57
3195;Jeremy Green;Independiente;05:22:00
4003;Laura Herman;Independiente;05:22:00
4131;Joshua Aguirre;Independiente;05:22:03
4367;Randall Holloway;Independiente;05:22:10
4325;Kyle Bennett;Independiente;05:22:11
4329;Deborah Moore;Independiente;05:22:12
1846;Frederick Morgan;Independiente;05:22:13
2360;Melinda Perkins;Independiente;05:22:13
1714;Pamela Lopez;CLUB CICLISTA BARBASTRO;05:22:14
2547;Nichole Perez;Independiente;05:22:14
4877;Mary Fuentes;Independiente;05:22:19
2130;Katherine Roth;Independiente;05:22:20
1598;Kevin Bennett;Independiente;05:22:20
2401;Angela Matthews;Independiente;05:22:21
1676;Patty Cooper;Independiente;05:22:23
1665;Margaret Moyer;Independiente;05:22:24
2553;Hunter Smith;Independiente;05:22:37
2568;Anthony Miller;Club Ciclista Oscense;05:22:37
2524;Kathleen Olson;CLUB Ciclista Oscense;05:22:39
3839;Noah Nolan;Independiente;05:22:48
3838;Donald Brown;Independiente;05:22:48
836;Kelsey Pittman;Independiente;05:22:52
4199;William Hudson;C.P.C. TOXO;05:22:52
5258;Christina Copeland;Independiente;05:22:53
861;Dr. Bethany Kim;Independiente;05:22:53
4083;Victor Garrett;Independiente;05:22:54
1821;Kristina Guzman;Independiente;05:22:54
2593;Paul Dunn;SANTURTZIKO MENDIZ ;05:22:55
4418;Brittany Vance;Independiente;05:23:06
5211;Dwayne Clayton;Independiente;05:23:07
4182;Christy Hartman;Independiente;05:23:07
4744;John Vazquez;Independiente;05:23:07
4427;Nathan Hooper;Independiente;05:23:08
615;Nicholas Quinn;BTT ZARAGOZA ;05:23:10
1787;Dawn Pacheco;BTT la Ràpita;05:23:14
5223;Richard Moss;Independiente;05:23:17
4060;David Klein;Independiente;05:23:17
2129;Aaron Norton;Independiente;05:23:24
2633;Christopher Butler;Atalaya Bikers Team;05:23:26
2299;Tara Blanchard;Atalaya bikers ;05:23:27
5488;Denise Bennett;Independiente;05:23:33
960;Aaron Myers;Independiente;05:23:35
4043;Karen Olsen;Independiente;05:23:38
3451;Mark King;Independiente;05:23:50
2329;Larry Brown;Independiente;05:23:53
1957;Gloria Hoffman;Independiente;05:23:54
1794;Sandra Nixon;Independiente;05:23:54
1955;Jacqueline Henry;Independiente;05:24:08
1083;Jessica Hernandez;Independiente;05:24:10
4137;Kevin Newman;Independiente;05:24:12
813;Nathan Morris;MUSSOLS GANXONS;05:24:13
1781;Samuel Cunningham;CLUB CICLISTA EBRO ;05:24:14
2006;Rebecca Lee;Independiente;05:24:19
2010;Sean Allen;Ratpenats VdM bikers team;05:24:19
3034;Jessica Good;Independiente;05:24:20
5229;Erica Bennett;Independiente;05:24:30
4183;Margaret Berry;Independiente;05:24:30
2295;Kyle Solis;Mugarra Triatloi Taldea;05:24:31
2721;Leslie Hill;Independiente;05:24:31
2285;Amber Mitchell;Independiente;05:24:32
2841;Amy White;Independiente;05:24:36
1618;James Williams;Independiente;05:24:36
2092;Joshua Espinoza;Independiente;05:24:36
1973;Scott Martin;Independiente;05:24:36
2731;Elizabeth Jones;Independiente;05:24:37
1408;Katherine Weber;Independiente;05:24:43
743;David Olson;Independiente;05:24:44
1442;Philip Chandler;Independiente;05:24:44
2870;Corey Mcdonald;Independiente;05:24:45
1406;Michele Meza;CLUB CICLISTA Jubierre ;05:24:46
326;Robert Benson;BGR;05:24:50
3220;Cory Hoffman;SPRINTBIKE ;05:25:06
2541;Susan Washington;Independiente;05:25:09
2647;Tricia Cook;Independiente;05:25:11
5391;Angela Smith;Independiente;05:25:11
5548;Christina Johnson;Independiente;05:25:13
5343;Andrew Ward;Independiente;05:25:14
2788;Justin Summers;Centre excursionista del Penedès ;05:25:22
808;Michael Stevens;Independiente;05:25:23
1014;Jonathan Williams;Independiente;05:25:23
806;Nicole Lowe;Independiente;05:25:24
2122;Daniel Whitaker;Independiente;05:25:25
3644;Thomas Castillo;Independiente;05:25:25
1027;Steven Ochoa;Independiente;05:25:26
3514;Jeanette Smith;Independiente;05:25:29
465;Christopher Craig;Indoor Huesca;05:25:32
761;Jonathan Wang;Independiente;05:25:35
5275;Alexander Flowers;Independiente;05:25:37
1054;Austin Johnson;CLUB Ciclista Cuarte de Huerva ;05:25:38
927;Jessica Schneider;Club ciclista cuarte de huerva ;05:25:39
663;Steven Perez;CLUB ciclista cuarte de huerva ;05:25:40
342;Allen Williams;Club ciclista Cuarte de Huerva ;05:25:41
4885;Cassandra Cook;Independiente;05:25:45
3232;John Morris;Big Bikers ;05:25:47
5132;Douglas Mclaughlin;Independiente;05:25:47
2009;Daniel Davis;Independiente;05:25:49
2762;Brittany Robinson;Independiente;05:25:50
578;Stephen Campbell;Independiente;05:25:53
744;Kelsey Juarez;CLUB unica ciclisma palau;05:25:57
738;Danielle Marshall;Club Unica Ciclisme Palau;05:25:59
923;Jessica Young;Independiente;05:25:59
347;Michelle Kelly;Independiente;05:26:00
3550;Melvin Garrett;CLUB Ciclista Santa Eulalia;05:26:01
55;Kenneth Simon;Ariz T.E.;05:26:03
4273;Stephen Nicholson;Ariz t.e ;05:26:04
1282;Vincent Torres;CLUB ciclista Binefar;05:26:04
677;Gabriel Hoffman;Independiente;05:26:16
4094;Lori Jensen;Independiente;05:26:22
1881;Lisa Guerrero;club ciclista oscense;05:26:22
2209;Daniel Ray;Independiente;05:26:28
2169;Sean Rodriguez;Independiente;05:26:29
366;Lisa Nguyen;Independiente;05:26:33
3433;Mark Maldonado;Independiente;05:26:33
4918;Tracey Gray;Independiente;05:26:35
1951;Jeremy Brown;Club Ciclista Sant Celoni;05:26:45
5450;Anthony Brooks;Independiente;05:26:49
2307;Patricia Moran;Btt Montbike ;05:26:49
3977;Elaine Zamora;Independiente;05:26:50
3984;Richard Little;Independiente;05:26:50
5468;Ashley Browning;Club Ciclista Móra d'Ebre;05:26:52
5441;Todd Shaw;Independiente;05:26:53
3087;Leslie Manning;BTT PRADOLUENGO;05:26:54
4181;Andrew King;Independiente;05:26:58
5431;Caitlin Hart;Independiente;05:26:58
3700;Deborah Harrison;open natura;05:26:58
1745;Eric Alexander;Independiente;05:27:00
1854;Ethan Mclaughlin;PENYA CICLOTURISTA CAMBRILS;05:27:01
1856;Ronnie Franco;Independiente;05:27:03
199;Debbie Walker;Independiente;05:27:04
200;Melissa White;Independiente;05:27:05
530;Rodney Macias;Independiente;05:27:09
4081;Kevin Reed;Independiente;05:27:11
4621;Carl Bernard;Independiente;05:27:13
4655;Clarence Powell;CLUB Ciclista Sant Joan Despí;05:27:14
4656;Melissa Valdez;Independiente;05:27:15
5314;Matthew Gilmore;Independiente;05:27:18
5245;Brian Lopez;Independiente;05:27:19
5244;Sarah Sutton;Independiente;05:27:19
645;Terry Vasquez;Different bike ;05:27:25
4724;Donna Clark;Independiente;05:27:43
4718;Jill Garza;Independiente;05:27:43
4715;Cathy Whitney;Independiente;05:27:43
3798;Victoria Villarreal;CLUB ciclista huesca ;05:27:49
71;Carrie Short;CLUB EXCURSIONISTA;05:27:52
3586;Felicia Werner;Montserratí Bikers ;05:27:52
294;Heidi Walker;Montserrati Bikers ;05:27:54
1001;Erica Alexander;Independiente;05:27:59
5142;David Jones;Independiente;05:28:02
5279;Steven Larsen;Independiente;05:28:04
1005;Darrell Ibarra;Independiente;05:28:07
762;Dawn Smith;Independiente;05:28:11
3469;Sarah Oneal;Independiente;05:28:18
1961;Francis Martinez;CLUB CICLISTA OSCENSE;05:28:21
5174;Lauren Davis;CLUB ciclista Collbató ;05:28:30
2717;Frank Figueroa;Independiente;05:28:33
5378;Tony Murray;Independiente;05:28:44
5379;Tiffany Norton;Independiente;05:28:45
3193;Kelly Caldwell;CC Dominriders Mozarrifar;05:28:47
3267;Evan Silva;UCSC ;05:28:52
1438;Ashley Sawyer;Club ciclista Sariñena ;05:28:56
208;Justin Cain MD;Independiente;05:29:01
5546;Ana Sullivan;Independiente;05:29:01
5339;Cynthia Johnson;Independiente;05:29:02
5455;Brenda Stafford;Local Legends Riberos del Tajo ;05:29:05
3147;Carlos Payne;Independiente;05:29:06
3155;Zachary Hood;Independiente;05:29:07
1681;Cindy Stafford MD;DOMINRIDERS MOZARRIFAR ;05:29:07
3718;Angela Luna;Independiente;05:29:18
3352;Jason Howard;ITECH Global Solutions ;05:29:19
3428;Jacob Briggs;Biking Point ;05:29:25
4347;Jeremy Ferguson;Independiente;05:29:27
3414;Christopher Gould;BIKESTOCKS ;05:29:28
4412;Rachel Hill;Independiente;05:29:28
1564;Robert Baker;Independiente;05:29:28
4433;Gary Jones;Independiente;05:29:28
3649;Ronnie Melendez;Independiente;05:29:37
5389;Juan Coffey;Independiente;05:29:37
2725;Robert Greene III;Independiente;05:29:46
882;Thomas Combs;Independiente;05:29:47
883;Veronica Weiss;Independiente;05:29:47
1099;Krystal Stone;Independiente;05:29:47
2881;Christopher Roth;Alt llobregat pla i baixada;05:29:50
4039;Richard Hunter;Cyclingnolimit ;05:29:51
2675;Kaitlyn Lyons;Independiente;05:29:56
1964;Terri Lewis;Independiente;05:30:14
3979;Jennifer Thomas;Independiente;05:30:15
3436;Michael Clayton;Independiente;05:30:22
3384;Pamela Krause;Independiente;05:30:23
686;Sheri Washington;Independiente;05:30:26
3199;Casey Pennington;Independiente;05:30:29
2093;Amanda Brown;CCActur;05:30:32
5216;Brett Reed;Club ciclista Actur;05:30:33
2590;Tracey Martinez;Tri + 9 El Masnou;05:30:34
2005;Elizabeth Perry;Independiente;05:30:38
4203;Julie Robinson;Independiente;05:30:42
4204;Craig Hill;Independiente;05:30:43
4202;Jennifer Forbes;Independiente;05:30:43
1653;Jonathan Collins;Independiente;05:30:44
5409;Sherry Miller;CLUB ciclista Trujillo ;05:30:45
3234;Sherri Holt;Independiente;05:30:45
1096;Kendra Sexton;Nabiga 360 ;05:30:50
2361;Clinton Gross;Team STS ;05:30:55
4028;Vincent Miller;Gracus ;05:30:55
4232;Laura Rogers;Independiente;05:31:06
3846;Taylor Maldonado;Independiente;05:31:07
1994;Vanessa Stevens;Independiente;05:31:08
3382;Keith Johnson;Independiente;05:31:09
4095;Adam Cook Jr.;Independiente;05:31:11
3812;George Smith;CC OSCENSE ;05:31:12
3947;Robert Williams;CC Híjar ;05:31:22
1007;Jessica Morris;Independiente;05:31:26
3818;Justin White;Independiente;05:31:27
4106;Allison Ross;Independiente;05:31:27
4867;Theresa Diaz;Independiente;05:31:30
302;Brooke Moreno;King Kiss;05:31:30
5362;Margaret Wilson;Independiente;05:31:33
4040;Jose Williams;Los Lobos;05:31:41
4000;Patrick Harper;Los Lobos;05:31:42
1580;Linda Ferrell;Independiente;05:31:44
5115;Robert Tate;Independiente;05:31:46
3099;Jonathan Krueger;Independiente;05:31:46
140;Brandon Cruz;Independiente;05:31:51
3621;William Moore;Independiente;05:32:00
1662;Thomas Sims;Planificat Cycling Team;05:32:00
3787;Wendy Long;CLUB Ciclista Flix ;05:32:04
3858;Edward Meyers;IRUNWITHLEIVA;05:32:05
3912;Patricia Pacheco;Independiente;05:32:07
2898;Kelly Guerrero;Independiente;05:32:13
3365;Joseph Lawson;Independiente;05:32:14
3579;Joseph Chambers;Independiente;05:32:18
2824;Jessica Howell;Independiente;05:32:20
4361;Jennifer Choi;Baix Ter C C ;05:32:24
4769;Brittany Deleon;Independiente;05:32:28
993;Julie Williams;CLUB Ciclista Sariñena ;05:32:29
3183;John Cooper;Independiente;05:32:45
811;Steven Bryant;Independiente;05:32:49
4170;Tracie Moore;Independiente;05:32:50
5453;Martin Vaughn;CLUB ciclista letux;05:32:51
2829;Jason Nelson;ENBIZZI CC ;05:32:51
5596;Jeffrey Fowler;Independiente;05:32:52
3913;Heidi Wilkinson;Independiente;05:32:54
1537;Nicole Boyd;Independiente;05:32:56
